"Language","original","english","czech","french","german","hungarian","italian","japanese","korean","polish","portuguese","russian","spanish","chinesesimp"
"STR_NORONHA_HINT_WATER_TITLE","Water","Water",,,,,,,,,"Agua",,,
"STR_NORONHA_HINT_WATER_BODY","Disinfect or boil water before drinking.","Disinfect or boil water before drinking.",,,,,,,,,"Desinfete ou ferva a agua antes de beber.",,,
"STR_NORONHA_HINT_NAVIGATION_TITLE","Navigation","Navigation",,,,,,,,,"Navegacao",,,
"STR_NORONHA_HINT_NAVIGATION_BODY","Use roads, the coast, and mapped landmarks to hold your bearing.","Use roads, the coast, and mapped landmarks to hold your bearing.",,,,,,,,,"Use estradas, a costa e marcos mapeados para manter sua orientacao.",,,
"STR_NORONHA_HINT_AIRPORT_TITLE","Airport","Airport",,,,,,,,,"Aeroporto",,,
"STR_NORONHA_HINT_AIRPORT_BODY","Aeroporto de Noronha is one of the island's marked landmarks.","Aeroporto de Noronha is one of the island's marked landmarks.",,,,,,,,,"O Aeroporto de Noronha e um dos marcos mapeados da ilha.",,,
"STR_NORONHA_HINT_BLEEDING_TITLE","Bleeding","Bleeding",,,,,,,,,"Sangramento",,,
"STR_NORONHA_HINT_BLEEDING_BODY","Carry bandages; stopping bleeding early is safer than treating blood loss later.","Carry bandages; stopping bleeding early is safer than treating blood loss later.",,,,,,,,,"Carregue bandagens; parar o sangramento cedo e mais seguro do que tratar a perda de sangue depois.",,,
"STR_NORONHA_HINT_SCALE_TITLE","Island scale","Island scale",,,,,,,,,"Escala da ilha",,,
"STR_NORONHA_HINT_SCALE_BODY","The Noronha world is 10.24 km by 10.24 km. Plan long crossings before nightfall.","The Noronha world is 10.24 km by 10.24 km. Plan long crossings before nightfall.",,,,,,,,,"O mundo de Noronha tem 10,24 km por 10,24 km. Planeje travessias longas antes do anoitecer.",,,
"STR_NORONHA_HINT_WEATHER_TITLE","Weather","Weather",,,,,,,,,"Clima",,,
"STR_NORONHA_HINT_WEATHER_BODY","Rain and cold demand dry clothes and a fire.","Rain and cold demand dry clothes and a fire.",,,,,,,,,"Chuva e frio exigem roupas secas e uma fogueira.",,,
"STR_NORONHA_HINT_COVER_TITLE","Cover","Cover",,,,,,,,,"Cobertura",,,
"STR_NORONHA_HINT_COVER_BODY","Before crossing open ground, decide where your next cover is.","Before crossing open ground, decide where your next cover is.",,,,,,,,,"Antes de cruzar terreno aberto, decida onde esta sua proxima cobertura.",,,
"STR_NORONHA_HINT_PREPAREDNESS_TITLE","Preparedness","Preparedness",,,,,,,,,"Preparo",,,
"STR_NORONHA_HINT_PREPAREDNESS_BODY","A full stomach and dry clothes buy more time than a rushed fight.","A full stomach and dry clothes buy more time than a rushed fight.",,,,,,,,,"Um estomago cheio e roupas secas compram mais tempo do que uma luta apressada.",,,
